Altium Designer Pick and Place Locations
C:\Users\avishniakov\Documents\workspace\PDoA\HW\Tag_DWM1003\Final PCB database\..\Assembly Output\Pick Place for TAG_V2.csv

========================================================================================================================
File Design Information:

Date:       22/01/19
Time:       15:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C33","100nF","TopLayer","C0201","299.213","177.165","90","CAP CER 0.1UF 25V X6S 0201"
"U5","LPS22HBTR","TopLayer","HLGA-10L","277.559","242.126","180",""
"C58","22pF","TopLayer","C0201","265.748","161.417","180","CAP CER 22PF 25V NP0 0201"
"X3","32.768KHZ-KCBB","TopLayer","XTAL_SMD_3.2X1.5MM","128.937","431.102","270","CRYSTAL 32.7680KHZ 12.5PF SMD"
"X2","38.4000MHz-2CAT","TopLayer","ABM10","621.063","123.031","360",""
"L4","CKP20164R7M-T","TopLayer","INDC2016X10N","292.323","93.504","360","FIXED IND 2.2UH 1.2A 110 MOHM"
"T1","TestPAD","BottomLayer","Testpad","472.441","84.646","180",""
"J1.14","EDGE_PIN","TopLayer","PCB_EDGE_1MM","5.906","163.386","90","PCB Edge pin"
"J1.15","EDGE_PIN","TopLayer","PCB_EDGE_1MM","5.906","124.016","90","PCB Edge pin"
"C6","12pF","TopLayer","C0201","83.661","436.024","90","CAP CER 12PF 25V NP0 0201"
